contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
18/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Kalika Mandir Compound Wall Construction kalika 8,3020003.93,Works,NCB,In-Progress
19/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Lahurey Chowk Prakash Medical Road Upgrading Works Kalika 2 and 7,2274683.86,Works,NCB,In-Progress
20/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Different Road Construction in Ward No. 1 and 4,3653358.82,Works,NCB,In-Progress
SRM/NCB/W/26/2082/083,Sailung Rural Municipality,Okhre Boldung Bhurunga Jomsa Khola Dadakharka Sadak,1065137.62,Works,NCB,In-Progress
21/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Kalika 11 no Woda Dekhi Majhabang Hudai Rapti 1 Thakuri Bhanjhyang Sammko Krishi Sadak Kalika Na Pa,1919951.83,Works,NCB,In-Progress
SRM/NCB/W/27/2082/083,Sailung Rural Municipality,Sabha HAll Marmat Tatha Byabasthapan,1438479.87,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/09/2082/083,"Champadevi Rural Municipality, Okhaldhunga",Bogati turning dekhi matadan kendra pokhare sadak nirman yojana,1138482.99,Works,NCB,In-Progress
30/NCB/TM/W/2082-83,"Tokha Municipality, Office of the Municipal Executive","Milan Tol Sadak Istaronnati, ward-8",1971494.07,Works,NCB,In-Progress
SRM/NCB/W/28/2082/083,Sailung Rural Municipality,Okharbot wada Karyalaya Sadak,915818.57,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/10/2082/083,"Champadevi Rural Municipality, Okhaldhunga",PALAPU KRISHI BIG MART,1594057.25,Works,NCB,In-Progress
22/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","Madan Asrit Dekhi Pakshim Kabita Neupane Ko Gharchowk Bato Kalopatrey, Kalika -4",6339769.6,Works,NCB,In-Progress
MMSI/WORKS/SQ/2082-83/18,Melamchi Municipality Office,Upgrading works of Ward Office Majhi Gaun Road,1310441.07,Works,Sealed Quotation,In-Progress
MMSI/WORKS/SQ/2082-83/14,Melamchi Municipality Office,COnstruction Works of Katunche ManeDada Mane,1319437.08,Works,Sealed Quotation,In-Progress
24/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","DTH Deep Tubewell Construction At Different ward 3,4 and 7 OF Kalika Municipality (first Phase)",3918697.0,Works,NCB,In-Progress
MMSI/WORKS/SQ/2081-82/14,Melamchi Municipality Office,Construction Works of Area Police Office Building,1489482.22,Works,Sealed Quotation,In-Progress
25/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","DTH Deep Tubewell Construction At Different ward 1,5 and 6 OF Kalika Municipality (Second Phase)",3593867.2,Works,NCB,In-Progress
CDRM/OKH/NCB/ABC.WORKS/11/2082/83,"Champadevi Rural Municipality, Okhaldhunga",Construction of Administration Building,83013433.88,Works,NCB,In-Progress
26/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","Different Roads Maintainance Work In Kalika Municipality ward no - 1, 5, 6",3807871.0,Works,NCB,In-Progress
27/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Kalika Nagarpalika Budathoki Ghol Park Nirman,3216326.79,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/16,Melamchi Municipality Office,Upgrading Works of Prathisthan Taar Sadak,2580101.07,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/13/2082/083,"Champadevi Rural Municipality, Okhaldhunga",TASI CHOILING GUMBA WADA 6,909300.01,Works,NCB,In-Progress
