source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/extracted_tables/page_182_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_182_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_182_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_183_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_183_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_183_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_184_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_184_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_184_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_185_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_185_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_185_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_186_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_186_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_186_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_187_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_187_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_187_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_188_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_188_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_188_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_189_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_189_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_189_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_18_table_1.csv,13,3,0,0,10,/home/suchita/Desktop/Final Arranged Data/Federal/page_18_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_18_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_190_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_190_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_190_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_191_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_191_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_191_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_192_table_1.csv,6,1,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_192_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_192_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_193_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_193_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_193_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_194_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_194_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_194_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_195_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_195_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_195_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_196_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_196_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_196_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_197_table_1.csv,16,5,0,0,11,/home/suchita/Desktop/Final Arranged Data/Federal/page_197_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_197_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_198_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_198_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_198_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_199_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_199_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_199_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_19_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_19_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_19_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_200_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_200_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_200_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_201_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_201_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_201_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_202_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_202_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_202_table_1_unknown.csv
